,index,name,page_image,title,page_link,cluster_name,cluster_proba
2468,2468,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/9/thumbnail_202x120_0ce25627-5fe4-4821-ab91-c89ae6c7c9df.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=763851&no=9&weekday=wed,0,0.9999993
2469,2469,뱀은 꽃을 먹는가,https://shared-comic.pstatic.net/thumb/webtoon/763851/10/thumbnail_202x120_fc853473-7f8f-4527-89c2-232ea05e4180.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=763851&no=10&weekday=wed,2,1.0
2470,2470,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/1/thumbnail_202x120_75072a84-7c88-4dad-92aa-f53017f7e03c.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=764040&no=1&weekday=fri,4,1.0
2471,2471,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/2/thumbnail_202x120_e5f0d29a-d4a4-4bbb-b069-4c3810adb78b.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=764040&no=2&weekday=fri,18,0.9999969
2472,2472,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/3/thumbnail_202x120_5a52822d-2963-4844-90a3-862cf66e71e8.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=764040&no=3&weekday=fri,4,1.0
2473,2473,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/4/thumbnail_202x120_9b17dcb3-016e-4cbc-aea4-15703f6a6a9c.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=764040&no=4&weekday=fri,0,0.99819094
2474,2474,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/5/thumbnail_202x120_452a0ee3-bdca-408b-9708-66bb05fdf5a5.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=764040&no=5&weekday=fri,4,0.9733898
2475,2475,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/6/thumbnail_202x120_fcd391ee-e448-4e3d-a6e9-77f68616d1d3.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=764040&no=6&weekday=fri,5,0.9999995
2476,2476,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/7/thumbnail_202x120_eaa2c574-a16b-4896-9881-eeb64e91af1f.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=764040&no=7&weekday=fri,3,0.99979
2477,2477,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/8/thumbnail_202x120_6ec3605e-2a32-42b0-869f-7121f9beef52.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=764040&no=8&weekday=fri,5,0.9999877
2478,2478,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/9/thumbnail_202x120_8cbac066-94b1-4b20-b212-fd6dbc0f18c2.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=764040&no=9&weekday=fri,15,0.9999994
2479,2479,빨리감기,https://shared-comic.pstatic.net/thumb/webtoon/764040/10/thumbnail_202x120_69103b5c-7df6-48b0-88de-c5735e0fb0a6.jpg,10화,https://comic.naver.com/webtoon/detail?titleId=764040&no=10&weekday=fri,0,1.0
2480,2480,모두 너였다,https://shared-comic.pstatic.net/thumb/webtoon/764128/1/thumbnail_202x120_926c2d04-fd57-4a91-b8ca-8b833979e886.jpg,프롤로그,https://comic.naver.com/webtoon/detail?titleId=764128&no=1&weekday=sat,1,0.99999964
2481,2481,모두 너였다,https://shared-comic.pstatic.net/thumb/webtoon/764128/2/thumbnail_202x120_8ad6130b-3786-42bf-8024-194fb4082077.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=764128&no=2&weekday=sat,1,0.97751427
